CODIGO,MUNICIPIO,OBS_REGISTROS,AÑOS_PRESENTES,NOTA_PANEL,PROM_AUTONOMIA_FISCAL,PROM_DEPENDENCIA_FCM,PROM_TRANSFERENCIAS_SOBRE_INGRESOS,PROM_IMPUESTOS_SOBRE_INGRESOS,PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,PROM_DISPONIBILIDAD_PRESUP_X_HAB,PROM_IPPP,GRUPO_FIGEM_MODAL_2016_2024,CAMBIOS_GRUPO_FIGEM_2016_2024,GRUPO_FIGEM_2024,MONTO_FIGEM_PROM_2016_2024,MONTO_FIGEM_2024,NOTA_MATCH_FIGEM,LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,LOG_PROM_IPPP,CLUSTER_FINAL,Z_PROM_DEPENDENCIA_FCM,Z_PROM_TRANSFERENCIAS_SOBRE_INGRESOS,Z_PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,Z_PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,Z_LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,Z_LOG_PROM_IPPP,DISTANCIA_CENTROIDE,NOMBRE_CLUSTER
5101,VALPARAÍSO,9,9,OK,0.3058246083176236,0.2376152118011501,0.3772055026495474,0.1975936507609144,0.8463413493543195,0.6475793434565369,287.0322222222222,85.70555555555556,1,0,1,0.0,0,,5.663072356593591,4.462517959652343,4,-1.2061031326545157,1.651606340964791,0.9183460042630324,2.9431702593978692,-0.48043579383417356,-0.05885205517955156,2.208717269999152,Alta transferencia y orientación a servicios comunitarios
5102,CASABLANCA,9,9,OK,0.6403642973303728,0.176240332670087,0.07013334567694693,0.5321468376900572,0.7491686499608287,0.1580538475356676,366.0244444444445,231.6344444444445,4,0,4,89476483.8653373,88892962,,5.905428451952134,5.449468313577053,2,-1.5277046170318394,-0.8727989994728956,-0.36767398437896726,-0.821911462277387,-0.14460250551815057,1.1793468685160313,1.5154700006635968,Mayor holgura fiscal y capacidad propia
5103,CONCÓN,9,9,OK,0.6679509508952645,0.1203897685005335,0.05912238082758815,0.5074455128210551,0.7477935621254748,0.4078288625851254,321.9744444444444,215.7388888888889,2,0,2,129924433.3100203,132493879,,5.777573200725509,5.378693352011694,2,-1.8203589504421458,-0.9633188914198986,-0.38587241308827636,1.099180189802555,-0.3217717629465051,1.0905546806553752,2.3049109232017253,Mayor holgura fiscal y capacidad propia
5104,JUAN FERNÁNDEZ,9,9,OK,0.03016825395736489,0.6895002995309384,0.1447007739274047,0.008842025387264469,0.9102550201564854,0.3033905764863534,2371.266666666667,73.14777777777778,5,0,5,32290985.25,88339235,,7.771601176508044,4.306060098853367,3,1.1617535057518675,-0.25978863749808506,1.7642035209533196,0.2959152213582141,2.4413564806839703,-0.25513949159885574,2.4421109388848277,Alta disponibilidad por habitante y baja escala relativa
5105,PUCHUNCAVÍ,9,9,OK,0.4857733981767348,0.2111466911588155,0.11500802517465,0.3679333555762689,0.745129502807095,0.2140614328224044,511.3122222222221,251.8844444444445,4,0,4,67585127.36233711,0,,6.238934248209315,5.5329326430631225,2,-1.3447969378132845,-0.503889353963944,-0.4211295743665793,-0.39114097658168806,0.3175370914406367,1.2840587646369064,1.1006046925900246,Mayor holgura fiscal y capacidad propia
5107,QUINTERO,9,9,OK,0.2321920207688174,0.6591656685942922,0.02483505609376994,0.159753268251339,0.7380000111402567,0.1917542175584616,425.3277777777778,96.44999999999999,3,0,3,76823558.44444445,0,,6.0552084818120155,4.579339425953569,1,1.002801464210067,-1.2451910954018932,-0.5154839439543072,-0.5627122004538005,0.06294795809820816,0.08770872496861827,1.6120624077003858,Dependencia fiscal intermedia y operación corriente alta
5109,VIÑA DEL MAR,9,9,OK,0.7658930366102807,0.08302026924043075,0.1359368395621585,0.3571627429348012,0.7016390872958603,0.4843142212440284,283.8855555555555,216.5288888888889,1,0,1,0.0,0,,5.652087540167871,5.382331664186265,2,-2.0161733716293924,-0.3318359469415362,-0.9966980623357458,1.6874511343438425,-0.49565747421460565,1.0951192002390686,2.6071003836767286,Mayor holgura fiscal y capacidad propia
5201,ISLA DE PASCUA,9,9,OK,0.01589119827189547,0.9407844022278226,0.03496497864844778,0.0,0.8526398137553178,0.3375126292699849,1645.237777777778,22.37555555555555,5,0,5,70094749.09294005,122901722,,7.406247828749158,3.1516908419749083,1,2.4784704031516793,-1.1619141521343515,1.001702246993658,0.5583577668685634,1.935085672872785,-1.7033772532352591,3.620838864659833,Dependencia fiscal intermedia y operación corriente alta
5301,LOS ANDES,9,9,OK,0.3514802380016015,0.4682454415308646,0.08195533632893548,0.243142229951639,0.8190573956651819,0.4872326618778809,211.4744444444444,73.9688888888889,3,0,3,0.0,0,,5.358821719694577,4.317073212662031,1,0.002388440338577365,-0.7756117564785814,0.5572599169935049,1.7098977026592312,-0.9020364625150175,-0.24132276250990203,1.882831527801893,Dependencia fiscal intermedia y operación corriente alta
5302,CALLE LARGA,9,9,OK,0.2787499785041947,0.2964281661081496,0.08929233714576165,0.2243336027340553,0.5903295050022033,0.1714644648871122,502.68,151.8333333333333,4,0,4,88233802.66478544,91539333,,6.221941145788984,5.029348003028409,2,-0.8979260140429073,-0.715295105736312,-2.4698108671717853,-0.7187665378821374,0.293989718076381,0.6522762673704057,1.5834042891690723,Mayor holgura fiscal y capacidad propia
